latitude,longitude,acq_date,satellite,confidence,frp,daynight,sensor,provinsi,frp_band,acq_datetime
2.21096,117.29231,2026-08-19,N,nominal,2.26,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.25145,117.53559,2026-08-19,N,nominal,5.89,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.252,117.53886,2026-08-19,N,nominal,7.08,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.29931,117.82356,2026-08-19,N,nominal,4.24,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.29983,117.82671,2026-08-19,N,nominal,4.24,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.24665,117.5396,2026-08-19,N,nominal,2.59,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.32394,118.00395,2026-08-19,N,nominal,3.94,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.32597,118.01614,2026-08-19,N,nominal,3.85,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.32648,118.01921,2026-08-19,N,nominal,3.85,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.29459,117.82748,2026-08-19,N,high,13.44,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.2987,117.88425,2026-08-19,N,nominal,4.07,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.29921,117.88734,2026-08-19,N,nominal,5.57,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.3208,118.01691,2026-08-19,N,nominal,3.85,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.20125,117.30087,2026-08-19,N,high,13.44,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.32337,117.93999,2026-08-19,N,high,8.46,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.29998,117.82574,2026-08-19,N,nominal,5.63,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.32844,118.00572,2026-08-19,N,low,2.04,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.29425,117.82339,2026-08-19,N,nominal,11.59,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.32472,118.01567,2026-08-19,N,nominal,6.02,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.24898,117.53799,2026-08-19,N,high,9.2,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.22437,117.55515,2026-08-19,N,nominal,3.22,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.26803,117.92673,2026-08-19,N,high,6.62,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.28061,117.90556,2026-08-19,N,nominal,5.05,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.26853,117.92986,2026-08-19,N,nominal,6.62,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27949,117.99772,2026-08-19,N,nominal,3.96,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.17237,117.33527,2026-08-19,N,high,19.66,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27454,117.96709,2026-08-19,N,high,13.17,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27504,117.97019,2026-08-19,N,high,10.64,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27554,117.97328,2026-08-19,N,high,10.64,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.25067,117.85242,2026-08-19,N,nominal,11.27,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.26282,117.92747,2026-08-19,N,nominal,6.62,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.26987,117.97107,2026-08-19,N,nominal,10.64,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.27431,117.99851,2026-08-19,N,low,3.96,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.26752,117.92362,2026-08-19,N,nominal,3.75,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.2748,118.00152,2026-08-19,N,nominal,7.87,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
2.25016,117.84931,2026-08-19,N,high,12.32,D,viirs,East Kalimantan,Rendah,2026-08-19 05:08:00
