acq_datetime;acq_date;latitude;longitude;frp;frp_band;provinsi;provinsi_id;sensor;satellite;confidence;daynight
2026-08-22 05:53:00;2026-08-22;-3,5524;115,8474;30,72;Sedang;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,4476;116,4034;2,7;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,5308;115,8218;7,95;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;low;D
2026-08-22 05:53:00;2026-08-22;-3,5285;115,8143;18,8;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,5007;115,8389;19,1;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,8177;114,6367;8,22;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,4973;115,8384;19,1;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,5552;115,8515;3,14;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-3,2513;114,8146;4,52;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,7036;115,2358;29,57;Sedang;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,7355;115,0261;4,7;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,7772;114,7506;5,79;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;low;D
2026-08-22 05:53:00;2026-08-22;-2,7738;114,75;4,83;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;low;D
2026-08-22 05:53:00;2026-08-22;-2,6862;115,2368;4,62;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,7149;115,1158;3,63;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,7369;114,9704;2,75;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,738;114,963;4,45;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,7159;115,0863;3,72;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;low;D
2026-08-22 05:53:00;2026-08-22;-2,7335;114,9699;8,43;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,6912;115,2266;9,58;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,7306;114,9657;8,02;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
2026-08-22 05:53:00;2026-08-22;-2,6954;115,1756;13,92;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;high;D
2026-08-22 05:53:00;2026-08-22;-2,6856;115,2404;4,62;Rendah;South Kalimantan;Kalimantan Selatan;viirs;N;nominal;D
